text,intent
What’s the 52-week high for Samsung?,shows_info
How did Apple close yesterday?,shows_info
Show me Netflix’s dividend yield right now.,shows_info
Can you show me Pepsi's current stock price?,shows_info
What's the latest news on Microsoft stock?,shows_info
What’s the 52-week high for Berkshire Hathaway?,shows_info
Can you show me Pepsi's current stock price?,shows_info
Pull up the current price of Netflix stock.,shows_info
How did Intel close yesterday?,shows_info
What's the latest news on Amazon stock?,shows_info
What's the latest news on Bank of America stock?,shows_info
Show me the historical performance of Berkshire Hathaway.,shows_info
What’s the 52-week high for JP Morgan?,shows_info
Show me Samsung’s dividend yield right now.,shows_info
What's the latest news on Alibaba stock?,shows_info
What's the latest news on ExxonMobil stock?,shows_info
I want to see the volume traded for Toyota today.,shows_info
Give me Toyota's stock chart for this week.,shows_info
Show me the historical performance of Bank of America.,shows_info
What’s the 52-week high for Tesla?,shows_info
What’s the 52-week high for Netflix?,shows_info
How is Google performing today?,shows_info
Show me the historical performance of Ford.,shows_info
What's the latest news on Microsoft stock?,shows_info
What’s the 52-week high for Samsung?,shows_info
I want to see the volume traded for Ford today.,shows_info
What's the latest news on Apple stock?,shows_info
Pull up the current price of Meta stock.,shows_info
What’s the 52-week high for Apple?,shows_info
Show me the historical performance of Amazon.,shows_info
How is Apple performing today?,shows_info
How is Intel performing today?,shows_info
What's the latest news on Samsung stock?,shows_info
I want to see the volume traded for Samsung today.,shows_info
Show me the historical performance of AMD.,shows_info
How did JP Morgan close yesterday?,shows_info
Pull up the current price of Coca-Cola stock.,shows_info
Can you show me Microsoft's current stock price?,shows_info
Give me Intel's stock chart for this week.,shows_info
What's the latest news on Netflix stock?,shows_info
How is Berkshire Hathaway performing today?,shows_info
Can you show me Google's current stock price?,shows_info
Give me Toyota's stock chart for this week.,shows_info
Show me the historical performance of Microsoft.,shows_info
Pull up the current price of ExxonMobil stock.,shows_info
Can you show me Netflix's current stock price?,shows_info
Show me Toyota’s dividend yield right now.,shows_info
How is Berkshire Hathaway performing today?,shows_info
What's the latest news on Toyota stock?,shows_info
Show me the historical performance of Tesla.,shows_info
Show me AMD’s dividend yield right now.,shows_info
How did AMD close yesterday?,shows_info
How is Toyota performing today?,shows_info
Show me AMD’s dividend yield right now.,shows_info
Can you show me Netflix's current stock price?,shows_info
Pull up the current price of Google stock.,shows_info
How is Amazon performing today?,shows_info
Can you show me AMD's current stock price?,shows_info
Show me the historical performance of Microsoft.,shows_info
How is Meta performing today?,shows_info
Can you show me JP Morgan's current stock price?,shows_info
Give me Netflix's stock chart for this week.,shows_info
Show me AMD’s dividend yield right now.,shows_info
How is Amazon performing today?,shows_info
How is Ford performing today?,shows_info
Can you show me Netflix's current stock price?,shows_info
I want to see the volume traded for Microsoft today.,shows_info
Show me the historical performance of AMD.,shows_info
What’s the 52-week high for AMD?,shows_info
I want to see the volume traded for JP Morgan today.,shows_info
What’s the 52-week high for Apple?,shows_info
Can you show me AMD's current stock price?,shows_info
Give me Microsoft's stock chart for this week.,shows_info
How is Meta performing today?,shows_info
How did Ford close yesterday?,shows_info
Can you show me Tesla's current stock price?,shows_info
Show me Tesla’s dividend yield right now.,shows_info
Can you show me Google's current stock price?,shows_info
How is Meta performing today?,shows_info
Show me Meta’s dividend yield right now.,shows_info
Give me AMD's stock chart for this week.,shows_info
Can you show me Toyota's current stock price?,shows_info
Give me Netflix's stock chart for this week.,shows_info
How did Coca-Cola close yesterday?,shows_info
What’s the 52-week high for Netflix?,shows_info
Show me the historical performance of Bank of America.,shows_info
How did Ford close yesterday?,shows_info
Show me the historical performance of Nvidia.,shows_info
Show me Coca-Cola’s dividend yield right now.,shows_info
I want to see the volume traded for Ford today.,shows_info
Show me Microsoft’s dividend yield right now.,shows_info
Give me Bank of America's stock chart for this week.,shows_info
How is Tesla performing today?,shows_info
What's the latest news on Ford stock?,shows_info
Pull up the current price of Bank of America stock.,shows_info
What’s the 52-week high for Toyota?,shows_info
Pull up the current price of ExxonMobil stock.,shows_info
Can you show me Meta's current stock price?,shows_info
Can you show me ExxonMobil's current stock price?,shows_info
What's the latest news on Microsoft stock?,shows_info
How is Bank of America performing today?,shows_info
What’s the 52-week high for AMD?,shows_info
Show me the historical performance of ExxonMobil.,shows_info
I want to see the volume traded for Toyota today.,shows_info
Give me Bank of America's stock chart for this week.,shows_info
Show me the historical performance of Nvidia.,shows_info
What’s the 52-week high for Intel?,shows_info
Can you show me Berkshire Hathaway's current stock price?,shows_info
What’s the 52-week high for Alibaba?,shows_info
What's the latest news on Netflix stock?,shows_info
What’s the 52-week high for Netflix?,shows_info
Show me Meta’s dividend yield right now.,shows_info
I want to see the volume traded for Samsung today.,shows_info
Give me Ford's stock chart for this week.,shows_info
Can you show me JP Morgan's current stock price?,shows_info
I want to see the volume traded for Microsoft today.,shows_info
What’s the 52-week high for Berkshire Hathaway?,shows_info
Pull up the current price of Google stock.,shows_info
Show me Bank of America’s dividend yield right now.,shows_info
Show me Berkshire Hathaway’s dividend yield right now.,shows_info
Give me Samsung's stock chart for this week.,shows_info
How did AMD close yesterday?,shows_info
Show me Toyota’s dividend yield right now.,shows_info
I want to see the volume traded for Microsoft today.,shows_info
Give me ExxonMobil's stock chart for this week.,shows_info
What’s the 52-week high for Toyota?,shows_info
Show me Intel’s dividend yield right now.,shows_info
How did Pepsi close yesterday?,shows_info
Pull up the current price of Apple stock.,shows_info
How is Amazon performing today?,shows_info
Can you show me Nvidia's current stock price?,shows_info
I want to see the volume traded for Intel today.,shows_info
I want to see the volume traded for Google today.,shows_info
Show me Ford’s dividend yield right now.,shows_info
Give me Alibaba's stock chart for this week.,shows_info
What's the latest news on Intel stock?,shows_info
Pull up the current price of AMD stock.,shows_info
How is Toyota performing today?,shows_info
Show me the historical performance of Google.,shows_info
What’s the 52-week high for Ford?,shows_info
Can you show me Microsoft's current stock price?,shows_info
How is Nvidia performing today?,shows_info
What's the latest news on Google stock?,shows_info
What’s the 52-week high for Intel?,shows_info
Can you show me Google's current stock price?,shows_info
Pull up the current price of Meta stock.,shows_info
Give me Netflix's stock chart for this week.,shows_info
Give me JP Morgan's stock chart for this week.,shows_info
How is Apple performing today?,shows_info
What’s the 52-week high for Alibaba?,shows_info
Pull up the current price of Pepsi stock.,shows_info
Show me Apple’s dividend yield right now.,shows_info
What's the latest news on Bank of America stock?,shows_info
Show me the historical performance of Ford.,shows_info
How is Google performing today?,shows_info
Show me the historical performance of Nvidia.,shows_info
How is Apple performing today?,shows_info
How is Intel performing today?,shows_info
What's the latest news on Tesla stock?,shows_info
What’s the 52-week high for Berkshire Hathaway?,shows_info
Show me the historical performance of Berkshire Hathaway.,shows_info
How did Intel close yesterday?,shows_info
What’s the 52-week high for Apple?,shows_info
How did Bank of America close yesterday?,shows_info
Can you show me Google's current stock price?,shows_info
Pull up the current price of Microsoft stock.,shows_info
How is Amazon performing today?,shows_info
How is Amazon performing today?,shows_info
Give me ExxonMobil's stock chart for this week.,shows_info
What’s the 52-week high for Ford?,shows_info
I want to see the volume traded for Alibaba today.,shows_info
Show me Ford’s dividend yield right now.,shows_info
Pull up the current price of Microsoft stock.,shows_info
Pull up the current price of Meta stock.,shows_info
How did Toyota close yesterday?,shows_info
Give me Bank of America's stock chart for this week.,shows_info
Pull up the current price of Amazon stock.,shows_info
What's the latest news on Ford stock?,shows_info
What’s the 52-week high for Toyota?,shows_info
Show me the historical performance of Samsung.,shows_info
Can you show me Coca-Cola's current stock price?,shows_info
Give me Intel's stock chart for this week.,shows_info
Can you show me Alibaba's current stock price?,shows_info
Give me Apple's stock chart for this week.,shows_info
Can you show me Pepsi's current stock price?,shows_info
Show me Berkshire Hathaway’s dividend yield right now.,shows_info
Pull up the current price of Pepsi stock.,shows_info
How is Microsoft performing today?,shows_info
What’s the 52-week high for Samsung?,shows_info
What’s the 52-week high for Microsoft?,shows_info
Can you show me Microsoft's current stock price?,shows_info
Give me Alibaba's stock chart for this week.,shows_info
What’s the 52-week high for Pepsi?,shows_info
Give me Nvidia's stock chart for this week.,shows_info
What’s the 52-week high for Intel?,shows_info
Give me Ford's stock chart for this week.,shows_info
Show me Meta’s dividend yield right now.,shows_info
What’s the 52-week high for Pepsi?,shows_info
I want to see the volume traded for Toyota today.,shows_info
How did Alibaba close yesterday?,shows_info
How is JP Morgan performing today?,shows_info
Show me the historical performance of Intel.,shows_info
Give me Ford's stock chart for this week.,shows_info
I want to see the volume traded for Alibaba today.,shows_info
How did Alibaba close yesterday?,shows_info
Show me Microsoft’s dividend yield right now.,shows_info
What’s the 52-week high for ExxonMobil?,shows_info
Show me the historical performance of Meta.,shows_info
Pull up the current price of JP Morgan stock.,shows_info
How is ExxonMobil performing today?,shows_info
How did AMD close yesterday?,shows_info
I want to see the volume traded for AMD today.,shows_info
Pull up the current price of Intel stock.,shows_info
How did Toyota close yesterday?,shows_info
Can you show me Nvidia's current stock price?,shows_info
Show me Pepsi’s dividend yield right now.,shows_info
How is Netflix performing today?,shows_info
Pull up the current price of Alibaba stock.,shows_info
How is Samsung performing today?,shows_info
Can you show me Coca-Cola's current stock price?,shows_info
Pull up the current price of Nvidia stock.,shows_info
What's the latest news on Amazon stock?,shows_info
What's the latest news on Samsung stock?,shows_info
Give me Amazon's stock chart for this week.,shows_info
Pull up the current price of Google stock.,shows_info
Show me the historical performance of ExxonMobil.,shows_info
Show me the historical performance of Berkshire Hathaway.,shows_info
What's the latest news on Netflix stock?,shows_info
I want to see the volume traded for Google today.,shows_info
Pull up the current price of Apple stock.,shows_info
Can you show me AMD's current stock price?,shows_info
I want to see the volume traded for Microsoft today.,shows_info
Show me the historical performance of Meta.,shows_info
Show me Ford’s dividend yield right now.,shows_info
Show me Bank of America’s dividend yield right now.,shows_info
What's the latest news on Nvidia stock?,shows_info
Give me Alibaba's stock chart for this week.,shows_info
Pull up the current price of Pepsi stock.,shows_info
What's the latest news on JP Morgan stock?,shows_info
Show me the historical performance of Nvidia.,shows_info
What’s the 52-week high for AMD?,shows_info
How is Samsung performing today?,shows_info
Give me Apple's stock chart for this week.,shows_info
Show me Coca-Cola’s dividend yield right now.,shows_info
I want to see the volume traded for JP Morgan today.,shows_info
How is Berkshire Hathaway performing today?,shows_info
Pull up the current price of Meta stock.,shows_info
Give me Nvidia's stock chart for this week.,shows_info
I want to see the volume traded for Berkshire Hathaway today.,shows_info
Give me ExxonMobil's stock chart for this week.,shows_info
Give me JP Morgan's stock chart for this week.,shows_info
Pull up the current price of Netflix stock.,shows_info
What's the latest news on Google stock?,shows_info
Show me Apple’s dividend yield right now.,shows_info
Show me JP Morgan’s dividend yield right now.,shows_info
Show me the historical performance of Coca-Cola.,shows_info
Show me the historical performance of Microsoft.,shows_info
Give me Samsung's stock chart for this week.,shows_info
Show me the historical performance of Amazon.,shows_info
Show me Pepsi’s dividend yield right now.,shows_info
Pull up the current price of Ford stock.,shows_info
I want to see the volume traded for JP Morgan today.,shows_info
Pull up the current price of Samsung stock.,shows_info
Show me JP Morgan’s dividend yield right now.,shows_info
What's the latest news on Google stock?,shows_info
What's the latest news on JP Morgan stock?,shows_info
How is Coca-Cola performing today?,shows_info
What's the latest news on AMD stock?,shows_info
How did Tesla close yesterday?,shows_info
Show me Netflix’s dividend yield right now.,shows_info
I want to see the volume traded for Tesla today.,shows_info
Give me Intel's stock chart for this week.,shows_info
How did Coca-Cola close yesterday?,shows_info
Can you show me Google's current stock price?,shows_info
Give me Toyota's stock chart for this week.,shows_info
Show me the historical performance of Intel.,shows_info
How did Netflix close yesterday?,shows_info
I want to see the volume traded for Coca-Cola today.,shows_info
Pull up the current price of JP Morgan stock.,shows_info
What’s the 52-week high for Meta?,shows_info
Pull up the current price of Google stock.,shows_info
I want to see the volume traded for Microsoft today.,shows_info
Give me Samsung's stock chart for this week.,shows_info
Show me Netflix’s dividend yield right now.,shows_info
How did Pepsi close yesterday?,shows_info
Can you show me AMD's current stock price?,shows_info
Show me the historical performance of Nvidia.,shows_info
Pull up the current price of Amazon stock.,shows_info
Can you show me Netflix's current stock price?,shows_info
Pull up the current price of Ford stock.,shows_info
Show me the historical performance of Meta.,shows_info
What's the latest news on Samsung stock?,shows_info
Show me Apple’s dividend yield right now.,shows_info
Give me Meta's stock chart for this week.,shows_info
What’s the 52-week high for Apple?,shows_info
Pull up the current price of Microsoft stock.,shows_info
How did Tesla close yesterday?,shows_info
Can you show me Microsoft's current stock price?,shows_info
Show me Amazon’s dividend yield right now.,shows_info
How is Pepsi performing today?,shows_info
Give me Bank of America's stock chart for this week.,shows_info
What’s the 52-week high for Apple?,shows_info
