sentence,label
show me the SMA of AMD.,stock
analyze the Ichimoku Cloud of Netflix.,stock
show me Microsoft's Bollinger Bands.,stock
compare Apple's Ichimoku Cloud.,stock
show me the Ichimoku Cloud of Apple.,stock
give me the RSI of Microsoft.,stock
what is Apple's EMA.,stock
can you display Nvidia's ADX.,stock
show me AMD's SMA.,stock
compare the moving average of Google.,stock
show me Nvidia's Bollinger Bands.,stock
analyze the EMA of Netflix.,stock
analyze Netflix's ADX.,stock
give me Meta's Bollinger Bands.,stock
compare the Bollinger Bands of AMD.,stock
analyze Apple's Ichimoku Cloud.,stock
show me the SMA of Tesla.,stock
what is the ADX of Google.,stock
can you display the MACD of Intel.,stock
what is the moving average of Amazon.,stock
tell me the RSI of Google.,stock
can you display Netflix's Bollinger Bands.,stock
show me Intel's EMA.,stock
can you display the Bollinger Bands of Meta.,stock
tell me Nvidia's SMA.,stock
what is Apple's SMA.,stock
tell me Apple's moving average.,stock
give me Microsoft's moving average.,stock
compare Google's MACD.,stock
compare the Bollinger Bands of Amazon.,stock
compare Google's Ichimoku Cloud.,stock
what is Apple's moving average.,stock
show me Netflix's Ichimoku Cloud.,stock
what is the Bollinger Bands of Apple.,stock
give me Google's SMA.,stock
give me the ADX of Netflix.,stock
give me the MACD of Netflix.,stock
compare Amazon's SMA.,stock
give me Amazon's MACD.,stock
show me the ADX of Meta.,stock
show me Tesla's SMA.,stock
what is Amazon's Ichimoku Cloud.,stock
show me Amazon's SMA.,stock
tell me the SMA of Microsoft.,stock
what is the MACD of Tesla.,stock
what is Netflix's Bollinger Bands.,stock
show me the MACD of Apple.,stock
what is Tesla's Bollinger Bands.,stock
compare the RSI of Google.,stock
can you display the EMA of AMD.,stock
what is the MACD of Netflix.,stock
analyze Google's MACD.,stock
analyze AMD's SMA.,stock
can you display the moving average of Tesla.,stock
what is Microsoft's ADX.,stock
analyze AMD's RSI.,stock
tell me the RSI of Nvidia.,stock
show me the EMA of AMD.,stock
show me the RSI of Google.,stock
analyze Intel's MACD.,stock
what is the RSI of Amazon.,stock
give me the RSI of Nvidia.,stock
How to cook pho?,nonstock
tell me Meta's EMA.,stock
compare the EMA of Amazon.,stock
analyze Netflix's EMA.,stock
compare the MACD of Google.,stock
give me Google's Bollinger Bands.,stock
show me Tesla's Ichimoku Cloud.,stock
can you display Meta's Bollinger Bands.,stock
show me the EMA of Amazon.,stock
can you display Tesla's Ichimoku Cloud.,stock
give me the Ichimoku Cloud of Apple.,stock
show me Intel's SMA.,stock
compare Apple's EMA.,stock
compare the MACD of AMD.,stock
compare Meta's MACD.,stock
what is AMD's EMA.,stock
show me Tesla's MACD.,stock
can you display the moving average of Microsoft.,stock
show me the Bollinger Bands of Meta.,stock
tell me the Ichimoku Cloud of Nvidia.,stock
what is Amazon's SMA.,stock
tell me Tesla's EMA.,stock
tell me Nvidia's moving average.,stock
give me Intel's SMA.,stock
analyze the RSI of Microsoft.,stock
compare the ADX of Microsoft.,stock
can you display the Ichimoku Cloud of Microsoft.,stock
give me Google's MACD.,stock
can you display Intel's Bollinger Bands.,stock
can you display Google's EMA.,stock
show me the MACD of Tesla.,stock
what is Amazon's moving average.,stock
show me the EMA of Meta.,stock
what is the Bollinger Bands of AMD.,stock
give me Meta's EMA.,stock
show me Intel's Bollinger Bands.,stock
tell me the MACD of Google.,stock
give me Netflix's RSI.,stock
show me Meta's ADX.,stock
what is Netflix's ADX.,stock
can you display Google's ADX.,stock
what is the SMA of Intel.,stock
tell me the Bollinger Bands of Meta.,stock
tell me the Bollinger Bands of Apple.,stock
tell me Microsoft's EMA.,stock
tell me the MACD of Nvidia.,stock
analyze Meta's EMA.,stock
tell me Microsoft's RSI.,stock
what is Netflix's MACD.,stock
show me Tesla's RSI.,stock
give me the ADX of Meta.,stock
give me Apple's Ichimoku Cloud.,stock
show me the Ichimoku Cloud of Amazon.,stock
what is the SMA of Meta.,stock
give me Tesla's MACD.,stock
what is Nvidia's MACD.,stock
show me the RSI of Nvidia.,stock
analyze Apple's MACD.,stock
tell me the RSI of Netflix.,stock
give me the MACD of Amazon.,stock
show me the moving average of Apple.,stock
show me Nvidia's EMA.,stock
tell me Apple's EMA.,stock
compare the RSI of Amazon.,stock
can you display the RSI of Netflix.,stock
compare Microsoft's ADX.,stock
can you display Meta's MACD.,stock
can you display Google's RSI.,stock
tell me the Bollinger Bands of Intel.,stock
give me Microsoft's EMA.,stock
show me the Ichimoku Cloud of AMD.,stock
compare the moving average of AMD.,stock
what is the Bollinger Bands of Nvidia.,stock
tell me the Bollinger Bands of AMD.,stock
show me AMD's Ichimoku Cloud.,stock
analyze Google's Ichimoku Cloud.,stock
give me Amazon's moving average.,stock
tell me Microsoft's moving average.,stock
analyze the ADX of Apple.,stock
show me the moving average of AMD.,stock
show me Microsoft's moving average.,stock
analyze Meta's MACD.,stock
analyze the moving average of Netflix.,stock
compare Amazon's ADX.,stock
