text,label
Find me the dividend history for Procter & Gamble.,1
Could you tell me the current P/E ratio of Intel?,1
What is the latest news affecting the semiconductor industry?,1
Give me a summary of Berkshire Hathaway's investment philosophy.,1
Let's see the year-to-date performance of the Nasdaq 100.,1
The market capitalization of Johnson & Johnson is what?,1
Who is the current CEO of Microsoft?,1
My interest is in the financials of General Electric.,1
I want to know the top 5 holdings of the ARKK ETF.,1
Please show me a stock chart for Amazon over the last 5 years.,1
Tell me about the stock symbol for The Walt Disney Company.,1
A rundown of the latest analyst ratings for NVIDIA would be great.,1
Has there been any insider selling at Tesla recently?,1
Can I see the latest 10-K report from Apple?,1
How many outstanding shares does Meta Platforms have?,1
A quick look at the price of WTI crude oil,1
I'm curious about the debt level of Ford Motor Company.,1
Show a list of all companies included in the S&P 500.,1
Who are the main competitors for Netflix in the streaming space?,1
Details about the most recent stock split for Google.,1
Is there any news on potential mergers in the pharma sector?,1
Fetch the historical price data for Bitcoin.,1
I need to find the headquarters location for Boeing.,1
Tell us about the yield on the 10-year US Treasury note.,1
The latest update on the VIX (volatility index),1
Uncover the total assets under management for BlackRock.,1
Can we get a price quote for shares of Home Depot?,1
How is the performance of emerging market ETFs lately?,1
We need to see the current institutional ownership of AMD.,1
The business model of Visa can you explain it?,1
Just the facts on Chevron's latest earnings report.,1
Showcase the dividend yield for a company like AT&T.,1
Locate the earnings call transcript for the last quarter of Pfizer.,1
Let us look at the price-to-sales ratio for Salesforce.,1
A view of the open interest on SPY options is needed.,1
What were the key takeaways from the last Fed meeting?,1
Could I get a breakdown of Caterpillar's revenue by segment?,1
Help me find the CUSIP for a particular municipal bond.,1
Bring up a list of high-yield dividend stocks.,1
A deep dive into the financial health of Delta Airlines.,1
Has Costco announced any special dividends?,1
List all subsidiaries owned by UnitedHealth Group.,1
I am looking for information on the iShares Russell 2000 ETF.,1
Get the historical return data for gold.,1
We should check the current beta of Amazon's stock.,1
Could you pull up the all-time high price for Ethereum?,1
Provide an analysis of Walmart's e-commerce growth.,1
"For a company like 3M, what is their return on equity?",1
Present a summary of recent upgrades or downgrades for Exxon Mobil.,1
I am searching for a profile of the company Adobe.,1
Who are the key members of the board at Moderna?,1
Fetch me the IPO price and date for Palantir.,1
Let's have a look at the historical volatility of oil prices.,1
Are we seeing any significant changes in insider ownership at GameStop?,1
Can I be shown the financial statements for Starbucks?,1
My inquiry is about the current P/B ratio for Bank of America.,1
Information on the corporate structure of a company like JPMorgan Chase.,1
Look up the current dividend payout ratio for Coca-Cola.,1
The top 10 holdings of the QQQ Invesco ETF.,1
How have utility stocks performed in the current interest rate environment?,1
Show the performance of the Nikkei 225 index this week.,1
Just give me the stock's 52-week high for T-Mobile.,1
"Help me understand what a ""short squeeze"" is.",1
Is there any market-moving news out of China today?,1
Fetch all recent press releases related to the airline industry.,1
How much cash does Apple currently have on its balance sheet?,1
Can I get a report on the current state of the housing market?,1
My interest lies in the long-term debt of Verizon.,1
Tell me the name of the CFO of NVIDIA.,1
A look into the supply chain issues affecting automakers.,1
Are there any upcoming stock splits I should be aware of?,1
Show me a list of all FAANG stocks.,1
What's the latest chatter about potential interest rate hikes?,1
Let's analyze the free cash flow of Microsoft.,1
I am researching the history of the Dow Jones Industrial Average.,1
Get the total number of employees at Amazon.,1
What's the story with the latest CPI inflation numbers?,1
The stock price for Tesla how has it trended this month?,1
Can I see a chart showing the yield curve?,1
