text,intent
what's the current stock price for Microsoft?,shows_info
show me the latest earnings report for google,shows_info
I need the ticker symbol for The Coca-Cola Company.,shows_info
How has Amazon (AMZN) been performing this year?,shows_info
Can you pull up the 52-week high for NVIDIA?,shows_info
Tell me about Tesla's market capitalization.,shows_info
What was the closing price of the S&P 500 yesterday?,shows_info
Find the dividend yield for Johnson & Johnson.,shows_info
what is ford's p/e ratio?,shows_info
Get me the historical stock data for Apple from last year.,shows_info
Who is the CEO of Berkshire Hathaway?,shows_info
What sector does Home Depot belong to?,shows_info
Latest news affecting airline stocks?,shows_info
Can you explain what a stock split is?,shows_info
Show me the chart for META over the last 6 months.,shows_info
what is the volume of trade for amd today,shows_info
Find information on the Vanguard 500 Index Fund ETF.,shows_info
I'm looking for the financial statements of General Electric.,shows_info
What are the main holdings in the QQQ ETF?,shows_info
Is there a dividend for GOOGL stock?,shows_info
how did the dow jones industrial average do today,shows_info
Can you list the board of directors for Pfizer?,shows_info
Tell me the founding date of McDonald's Corporation.,shows_info
What was the IPO price for Facebook?,shows_info
Show the trading volume for bitcoin today,shows_info
Get the most recent press release from Boeing.,shows_info
What's the ex-dividend date for T (AT&T)?,shows_info
give me the basics on Chevron Corporation,shows_info
How many outstanding shares does Walmart have?,shows_info
I need to see the debt to equity ratio for Exxon Mobil.,shows_info
what were the quarterly earnings for Netflix,shows_info
Pull up info on the ishares russell 2000 etf.,shows_info
I want to see the key financials for Costco.,shows_info
who are the institutional owners of moderna,shows_info
tell me the beta of SPY,shows_info
current stock quote for disney,shows_info
Let's see the open interest on TSLA options.,shows_info
find me details about nike's stock performance,shows_info
how much is one share of apple right now?,shows_info
what's the enterprise value of salesforce,shows_info
What index is Adobe a part of?,shows_info
list of competitors for intel,shows_info
any updates on the amd stock,shows_info
what's the current situation with gamestop,shows_info
Give me a summary of Procter & Gamble's business.,shows_info
I need the CUSIP number for IBM.,shows_info
What's the short interest in AMC Entertainment?,shows_info
Show me the historical volatility of gold prices.,shows_info
Details about the latest dividend payment from Verizon.,shows_info
What is the average analyst rating for Caterpillar?,shows_info
"If I bought 10 shares of Apple one year ago for $150 each, what is my total profit today?",calculate
Calculate the percentage gain for NVDA stock this month.,calculate
What would my return on investment be if I put $5000 in the SPY ETF 5 years ago?,calculate
How much would I have now if I invested $1000 in Amazon at the beginning of the year?,calculate
can you compute the 50-day moving average for Tesla's stock?,calculate
What is the total value of 100 shares of GOOGL and 50 shares of MSFT at their current prices?,calculate
Calculate the total dividend payment I would receive from 200 shares of Coca-Cola in a year.,calculate
"If a stock goes from $210 to $250, what is the percentage increase?",calculate
compute the sharpe ratio for my portfolio assuming a risk-free rate of 2%,calculate
What's the difference in price between today's high and low for AMD?,calculate
"If I invested $10,000 and my portfolio is now worth $12,500, what is my ROI?",calculate
Calculate the P/E ratio for a company with a share price of $50 and earnings per share of $2.50.,calculate
how do i find the compounded annual growth rate of my investment over 3 years?,calculate
Can you figure out the daily simple return for Netflix stock yesterday?,calculate
What's the cost basis for 25 shares of Disney bought at $110?,calculate
find the total return for my johnson & johnson stock including dividends for the past year.,calculate
"if I sell 30 shares of meta at $300, how much are the capital gains if my cost basis was $220?",calculate
Please calculate the market capitalization for a company with 1 billion shares at $190 per share.,calculate
how to calculate the dividend yield for a stock,calculate
"Work out the value of a 10% gain on a $25,000 portfolio.",calculate
what would be the final amount if i had 10000 and it grew by 15%,calculate
figure out my portfolio's performance over the last quarter,calculate
"If I buy 10 call options for XYZ at a strike of $50, what's my break-even price?",calculate
calculate the 200-day moving average for the QQQ.,calculate
What's the required investment for 75 shares of BRK.A?,calculate
Tell me the total cost if I buy 50 shares of Pfizer at the current market price plus a $5 commission.,calculate
"compute the total value of this portfolio: 10 AAPL, 5 MSFT, 20 T",calculate
What's the dollar change in Apple's stock price today?,calculate
how to figure out the earnings per share?,calculate
"if I put $200 a month into an S&P 500 index fund for 10 years, what's a reasonable estimate of its final value?",calculate
What is my loss if I bought 100 shares of Peloton at $40 and sold at $25?,calculate
Calculate the percentage drop for Intel this week.,calculate
Tell me the weighted average cost of my 50 shares of AMZN bought at different prices.,calculate
How many shares of META can I buy with $5000?,calculate
"If I shorted 100 shares of GameStop at $200 and covered at $50, what is my profit?",calculate
What is the year-to-date return for gold?,calculate
calculate my total unrealized gains for my tech stocks,calculate
work out the volatility of my portfolio based on its holdings,calculate
Find the dividend payout ratio for Home Depot based on its latest financials.,calculate
what's my profit if I buy a stock at 80 and it goes to 100?,calculate
calculate the book value per share for ford motor company,calculate
Can you determine the free cash flow yield for Apple?,calculate
I need to calculate the growth of my initial investment.,calculate
Tell me the gain on 100 shares of Bank of America if I bought at $30 and it's now $45.,calculate
"If a stock pays a $1.50 annual dividend and its price is $50, what's the yield?",calculate
"What would 100 shares of Microsoft, bought 10 years ago, be worth now?",calculate
Find the simple moving average for META for the last 20 days.,calculate
calculate the yield to maturity on this bond,calculate
what's the cost of buying 15 shares of chevron right now?,calculate
Nvidia or AMD for gaming performance?,compare
"Which has a higher market cap, Apple or Microsoft?",compare
Compare the P/E ratios of Google and Meta.,compare
is it better to invest in tesla or ford for the long term?,compare
AT&T vs. Verizon: which one offers a better dividend yield?,compare
Show me a performance comparison between the S&P 500 and the Nasdaq over the last 5 years.,compare
"Which stock is more volatile, AMZN or TSLA?",compare
"coke vs pepsi stock, who has been doing better recently?",compare
