text,label
How do I bake a chocolate cake?,0
What is the meaning of life?,0
Tell me a joke.,0
Check how TSLA is doing.,1
Tell me a joke.,0
Stock analysis for Intel please.,1
Play me some jazz music.,0
What's the capital of France?,0
Set a timer for 20 minutes.,0
What's the weather in New York?,0
How do I reset my password?,0
Who is the president of Brazil?,0
Find me a good pizza place nearby.,0
What's the capital of France?,0
How far is the moon from Earth?,0
Get me the stock info for NFLX.,1
Tell me something interesting.,0
When is the next earnings call for Microsoft?,1
How far is the moon from Earth?,0
Translate 'hello' to Spanish.,0
What’s going on with NVDA stock?,1
Stock analysis for Intel please.,1
How do you make coffee?,0
What are today's top gainers in the stock market?,1
Give me the latest stock price for TSLA.,1
What's the current price of AAPL?,1
What’s going on with NVDA stock?,1
Tell me a joke.,0
Who is the president of Brazil?,0
Check how TSLA is doing.,1
Who won the NBA game last night?,0
Turn off the lights.,0
How do I bake a chocolate cake?,0
How do I bake a chocolate cake?,0
Play me some jazz music.,0
What is the meaning of life?,0
How do I bake a chocolate cake?,0
How do I reset my password?,0
Show me the stock performance of Microsoft.,1
Tell me a joke.,0
Translate 'hello' to Spanish.,0
Translate 'hello' to Spanish.,0
What are today's top gainers in the stock market?,1
Find me a good pizza place nearby.,0
Pull up the chart for S&P 500.,1
What's the current price of AAPL?,1
Show me the stock performance of Microsoft.,1
Is Tesla a good investment right now?,1
Give me the latest stock price for TSLA.,1
What's the trading volume of AMD today?,1
What's the current price of AAPL?,1
Who won the NBA game last night?,0
Is Tesla a good investment right now?,1
Should I invest in Meta?,1
Give me the latest stock price for TSLA.,1
Tell me a joke.,0
Compare NVDA and AMD stocks.,1
Pull up the chart for S&P 500.,1
How do you make coffee?,0
Should I invest in Meta?,1
What is the meaning of life?,0
Latest update on the Dow Jones.,1
How do you make coffee?,0
Is AAPL up or down today?,1
Set a timer for 20 minutes.,0
Stock analysis for Intel please.,1
How do I reset my password?,0
What's the weather in New York?,0
Play me some jazz music.,0
Who won the NBA game last night?,0
What's the dividend yield of IBM?,1
What are today's top gainers in the stock market?,1
What's the P/E ratio of Google?,1
What's the dividend yield of IBM?,1
What are today's top gainers in the stock market?,1
Translate 'hello' to Spanish.,0
What's the trading volume of AMD today?,1
When is the next earnings call for Microsoft?,1
What’s the RSI of Apple?,1
Pull up the chart for S&P 500.,1
Tell me a joke.,0
Play me some jazz music.,0
Is Tesla a good investment right now?,1
Is AAPL up or down today?,1
Get me the stock info for NFLX.,1
Latest update on the Dow Jones.,1
When is the next earnings call for Microsoft?,1
Tell me a joke.,0
What’s the RSI of Apple?,1
Should I invest in Meta?,1
Is AAPL up or down today?,1
Who won the NBA game last night?,0
Remind me to buy milk.,0
What is the meaning of life?,0
What is the meaning of life?,0
Tell me something interesting.,0
How far is the moon from Earth?,0
Check how TSLA is doing.,1
Latest update on the Dow Jones.,1
What is the meaning of life?,0
Should I invest in Meta?,1
What’s the RSI of Apple?,1
What's the trading volume of AMD today?,1
How much did Amazon's stock rise today?,1
What's the capital of France?,0
Compare NVDA and AMD stocks.,1
Compare NVDA and AMD stocks.,1
How far is the moon from Earth?,0
What are today's top gainers in the stock market?,1
What is the meaning of life?,0
Tell me something interesting.,0
Show me the stock performance of Microsoft.,1
What's the P/E ratio of Google?,1
How much did Amazon's stock rise today?,1
Who won the NBA game last night?,0
Compare NVDA and AMD stocks.,1
How do I bake a chocolate cake?,0
What’s going on with NVDA stock?,1
Stock analysis for Intel please.,1
Set a timer for 20 minutes.,0
Stock analysis for Intel please.,1
Tell me something interesting.,0
What's 25 times 16?,0
Open the calendar app.,0
What's 25 times 16?,0
Is AAPL up or down today?,1
Give me the latest stock price for TSLA.,1
Play me some jazz music.,0
Should I invest in Meta?,1
How much did Amazon's stock rise today?,1
Turn off the lights.,0
What is the meaning of life?,0
What is the meaning of life?,0
What's the trading volume of AMD today?,1
Show me the stock performance of Microsoft.,1
Should I invest in Meta?,1
What's the capital of France?,0
Show me the stock performance of Microsoft.,1
Tell me something interesting.,0
What’s the RSI of Apple?,1
Turn off the lights.,0
What's the P/E ratio of Google?,1
What movies are playing tonight?,0
Show me the stock performance of Microsoft.,1
What movies are playing tonight?,0
Give me the latest stock price for TSLA.,1
What movies are playing tonight?,0
Latest update on the Dow Jones.,1
Remind me to buy milk.,0
What's the dividend yield of IBM?,1
What are today's top gainers in the stock market?,1
What's the trading volume of AMD today?,1
Turn off the lights.,0
Show me the stock performance of Microsoft.,1
How far is the moon from Earth?,0
What’s the RSI of Apple?,1
What's 25 times 16?,0
What's the current price of AAPL?,1
What's the dividend yield of IBM?,1
Turn off the lights.,0
What movies are playing tonight?,0
What's the trading volume of AMD today?,1
What movies are playing tonight?,0
Is Tesla a good investment right now?,1
What is the meaning of life?,0
Translate 'hello' to Spanish.,0
What is the meaning of life?,0
How do you make coffee?,0
Tell me a joke.,0
Give me the latest stock price for TSLA.,1
What's the P/E ratio of Google?,1
What's the current price of AAPL?,1
Give me the latest stock price for TSLA.,1
Open the calendar app.,0
What's the current price of AAPL?,1
Is AAPL up or down today?,1
What's 25 times 16?,0
What is the meaning of life?,0
Compare NVDA and AMD stocks.,1
What's the capital of France?,0
Who won the NBA game last night?,0
What's the P/E ratio of Google?,1
What is the meaning of life?,0
Play me some jazz music.,0
What's the dividend yield of IBM?,1
Tell me something interesting.,0
Set a timer for 20 minutes.,0
How do you make coffee?,0
Should I invest in Meta?,1
How do I reset my password?,0
Tell me something interesting.,0
Remind me to buy milk.,0
Who is the president of Brazil?,0
What's the trading volume of AMD today?,1
Latest update on the Dow Jones.,1
How do you make coffee?,0
Check how TSLA is doing.,1
Find me a good pizza place nearby.,0
Remind me to buy milk.,0
Translate 'hello' to Spanish.,0
Pull up the chart for S&P 500.,1
How much did Amazon's stock rise today?,1
Is AAPL up or down today?,1
What is the meaning of life?,0
Stock analysis for Intel please.,1
Remind me to buy milk.,0
Remind me to buy milk.,0
Translate 'hello' to Spanish.,0
Set a timer for 20 minutes.,0
Latest update on the Dow Jones.,1
Turn off the lights.,0
Set a timer for 20 minutes.,0
Compare NVDA and AMD stocks.,1
Tell me something interesting.,0
Tell me something interesting.,0
Turn off the lights.,0
What's the weather in New York?,0
What movies are playing tonight?,0
Turn off the lights.,0
Check how TSLA is doing.,1
What movies are playing tonight?,0
How much did Amazon's stock rise today?,1
Should I invest in Meta?,1
Should I invest in Meta?,1
What movies are playing tonight?,0
Open the calendar app.,0
Remind me to buy milk.,0
Compare NVDA and AMD stocks.,1
Is AAPL up or down today?,1
How much did Amazon's stock rise today?,1
Turn off the lights.,0
What's the trading volume of AMD today?,1
What is the meaning of life?,0
How do I bake a chocolate cake?,0
Get me the stock info for NFLX.,1
Find me a good pizza place nearby.,0
Stock analysis for Intel please.,1
Who won the NBA game last night?,0
Set a timer for 20 minutes.,0
What's 25 times 16?,0
What’s the RSI of Apple?,1
How much did Amazon's stock rise today?,1
Stock analysis for Intel please.,1
Tell me something interesting.,0
How do you make coffee?,0
What's 25 times 16?,0
Compare NVDA and AMD stocks.,1
Remind me to buy milk.,0
What's 25 times 16?,0
Check how TSLA is doing.,1
What's the trading volume of AMD today?,1
Set a timer for 20 minutes.,0
What's the dividend yield of IBM?,1
What are today's top gainers in the stock market?,1
What movies are playing tonight?,0
Open the calendar app.,0
What are today's top gainers in the stock market?,1
Play me some jazz music.,0
How far is the moon from Earth?,0
Who won the NBA game last night?,0
What’s going on with NVDA stock?,1
Give me the latest stock price for TSLA.,1
Set a timer for 20 minutes.,0
What movies are playing tonight?,0
What's the trading volume of AMD today?,1
Translate 'hello' to Spanish.,0
Open the calendar app.,0
Translate 'hello' to Spanish.,0
What’s the RSI of Apple?,1
What's the weather in New York?,0
Tell me something interesting.,0
Stock analysis for Intel please.,1
What's the P/E ratio of Google?,1
What are today's top gainers in the stock market?,1
What are today's top gainers in the stock market?,1
Who won the NBA game last night?,0
Should I invest in Meta?,1
When is the next earnings call for Microsoft?,1
How much did Amazon's stock rise today?,1
