query,label
How do I cook spaghetti?,nonstock
What are Netflix's earnings this quarter?,stock
What are analysts saying about Meta?,stock
What is the capital of Canada?,nonstock
How do I cook spaghetti?,nonstock
How is Netflix performing in the market?,stock
Can you recommend a good book?,nonstock
What's the best way to clean a carpet?,nonstock
Why is the sky blue?,nonstock
How do I start learning Python?,nonstock
What are analysts saying about Google?,stock
What are Amazon's earnings this quarter?,stock
How do I cook spaghetti?,nonstock
Should I buy Meta stock now?,stock
What is the capital of Canada?,nonstock
Can you recommend a good book?,nonstock
What is the P/E ratio of Intel?,stock
Tell me about Intel's dividend yield.,stock
How does a combustion engine work?,nonstock
What is the P/E ratio of Nvidia?,stock
What's the best way to clean a carpet?,nonstock
How do I reset my password?,nonstock
What's the best way to clean a carpet?,nonstock
What is the P/E ratio of Meta?,stock
What is the capital of Canada?,nonstock
How does a combustion engine work?,nonstock
What are analysts saying about Nvidia?,stock
What are some healthy breakfast ideas?,nonstock
Why is the sky blue?,nonstock
What is the P/E ratio of Tesla?,stock
What are analysts saying about Meta?,stock
What are some healthy breakfast ideas?,nonstock
Tell me about Apple's dividend yield.,stock
What are some healthy breakfast ideas?,nonstock
How is Microsoft performing in the market?,stock
Can you recommend a good book?,nonstock
What is the forecast for Google shares?,stock
How does a combustion engine work?,nonstock
How do I reset my password?,nonstock
What's the best way to clean a carpet?,nonstock
What are some healthy breakfast ideas?,nonstock
What is the forecast for AMD shares?,stock
What is the P/E ratio of Tesla?,stock
What is the forecast for AMD shares?,stock
What's the best way to clean a carpet?,nonstock
What are analysts saying about Tesla?,stock
Why is the sky blue?,nonstock
What's the best way to clean a carpet?,nonstock
What is the capital of Canada?,nonstock
Tell me about Microsoft's dividend yield.,stock
What's the best way to clean a carpet?,nonstock
When is a good time to invest in Netflix?,stock
What are some healthy breakfast ideas?,nonstock
What's the weather like tomorrow?,nonstock
What is the forecast for AMD shares?,stock
What's the best way to clean a carpet?,nonstock
How do I reset my password?,nonstock
What are some healthy breakfast ideas?,nonstock
Can you recommend a good book?,nonstock
What is the forecast for Tesla shares?,stock
Should I buy Amazon stock now?,stock
How much has Meta gained this year?,stock
How is Amazon performing in the market?,stock
What's the best way to clean a carpet?,nonstock
How do I start learning Python?,nonstock
How much has Tesla gained this year?,stock
How is Amazon performing in the market?,stock
How does a combustion engine work?,nonstock
What is the capital of Canada?,nonstock
Tell me about Meta's dividend yield.,stock
What's the weather like tomorrow?,nonstock
What's the weather like tomorrow?,nonstock
What are analysts saying about Amazon?,stock
Tell me about Amazon's dividend yield.,stock
Why is the sky blue?,nonstock
How much has Netflix gained this year?,stock
Should I buy Apple stock now?,stock
How much has Nvidia gained this year?,stock
How does a combustion engine work?,nonstock
What are some healthy breakfast ideas?,nonstock
What is the capital of Canada?,nonstock
What's the best way to clean a carpet?,nonstock
What are AMD's earnings this quarter?,stock
Is Apple a good investment?,stock
Tell me about Meta's dividend yield.,stock
How do I start learning Python?,nonstock
How is Microsoft performing in the market?,stock
Why is the sky blue?,nonstock
How does a combustion engine work?,nonstock
What is the forecast for AMD shares?,stock
Is Nvidia a good investment?,stock
What is the P/E ratio of AMD?,stock
How much has Google gained this year?,stock
How much has Netflix gained this year?,stock
Should I buy Netflix stock now?,stock
What are some healthy breakfast ideas?,nonstock
Why is the sky blue?,nonstock
How do I reset my password?,nonstock
How do I reset my password?,nonstock
How is Netflix performing in the market?,stock
Can you recommend a good book?,nonstock
How do I reset my password?,nonstock
Why is the sky blue?,nonstock
What are Amazon's earnings this quarter?,stock
When is a good time to invest in Microsoft?,stock
Should I buy AMD stock now?,stock
Tell me about Intel's dividend yield.,stock
Tell me about AMD's dividend yield.,stock
How do I start learning Python?,nonstock
When is a good time to invest in Netflix?,stock
How much has Apple gained this year?,stock
Tell me about Google's dividend yield.,stock
How do I reset my password?,nonstock
How do I cook spaghetti?,nonstock
What is the capital of Canada?,nonstock
When is a good time to invest in Intel?,stock
What is the P/E ratio of Microsoft?,stock
Should I buy Apple stock now?,stock
How do I start learning Python?,nonstock
How is Microsoft performing in the market?,stock
Is Apple a good investment?,stock
What are Nvidia's earnings this quarter?,stock
How do I reset my password?,nonstock
What's the weather like tomorrow?,nonstock
How do I reset my password?,nonstock
Can you recommend a good book?,nonstock
How do I reset my password?,nonstock
What is the P/E ratio of Amazon?,stock
How do I cook spaghetti?,nonstock
How is Amazon performing in the market?,stock
What are Apple's earnings this quarter?,stock
What's the weather like tomorrow?,nonstock
What are some healthy breakfast ideas?,nonstock
How do I cook spaghetti?,nonstock
How do I reset my password?,nonstock
How much has Amazon gained this year?,stock
Tell me about Tesla's dividend yield.,stock
Why is the sky blue?,nonstock
What's the best way to clean a carpet?,nonstock
What's the best way to clean a carpet?,nonstock
What's the weather like tomorrow?,nonstock
How do I reset my password?,nonstock
When is a good time to invest in Microsoft?,stock
How do I start learning Python?,nonstock
What are Netflix's earnings this quarter?,stock
Is Apple a good investment?,stock
What are Meta's earnings this quarter?,stock
How do I start learning Python?,nonstock
What's the weather like tomorrow?,nonstock
How do I reset my password?,nonstock
How do I cook spaghetti?,nonstock
What is the forecast for Netflix shares?,stock
Tell me about AMD's dividend yield.,stock
What are Meta's earnings this quarter?,stock
How do I reset my password?,nonstock
How do I reset my password?,nonstock
How much has Meta gained this year?,stock
What is the forecast for Apple shares?,stock
What are Amazon's earnings this quarter?,stock
