query,label
What time is it in Tokyo?,not_stock
Tell me a joke.,not_stock
Display the moving average for GOOGL.,stock
What is the dividend yield of Intel?,stock
Set a reminder for 5 PM.,not_stock
Tell me a joke.,not_stock
Turn off the lights in the living room.,not_stock
What is the weather like in New York?,not_stock
Set a reminder for 5 PM.,not_stock
Play some relaxing music.,not_stock
What is the dividend yield of Intel?,stock
How did the market close today?,stock
What’s the P/E ratio of Microsoft?,stock
Compare AAPL and MSFT stock performance.,stock
What time is it in Tokyo?,not_stock
What is the weather like in New York?,not_stock
What time is it in Tokyo?,not_stock
Compare AAPL and MSFT stock performance.,stock
Set a reminder for 5 PM.,not_stock
What is the stock price of AAPL today?,stock
Show me the RSI for Tesla.,stock
Display the moving average for GOOGL.,stock
What is the weather like in New York?,not_stock
Book a flight to San Francisco.,not_stock
Book a flight to San Francisco.,not_stock
Tell me a joke.,not_stock
Play some relaxing music.,not_stock
How did the market close today?,stock
What is the dividend yield of Intel?,stock
Set a reminder for 5 PM.,not_stock
Play some relaxing music.,not_stock
What is the dividend yield of Intel?,stock
Compare AAPL and MSFT stock performance.,stock
Display the moving average for GOOGL.,stock
What is the weather like in New York?,not_stock
Set a reminder for 5 PM.,not_stock
Show me the RSI for Tesla.,stock
Buy 10 shares of AMZN.,stock
Set a reminder for 5 PM.,not_stock
What is the weather like in New York?,not_stock
Compare AAPL and MSFT stock performance.,stock
Display the moving average for GOOGL.,stock
What’s the capital of France?,not_stock
What is the stock price of AAPL today?,stock
Is NVDA a good buy now?,stock
How do I cook spaghetti?,not_stock
Set a reminder for 5 PM.,not_stock
What’s the P/E ratio of Microsoft?,stock
Compare AAPL and MSFT stock performance.,stock
Buy 10 shares of AMZN.,stock
Show me the RSI for Tesla.,stock
What time is it in Tokyo?,not_stock
How do I cook spaghetti?,not_stock
Give me the latest news on AMD stock.,stock
What is the weather like in New York?,not_stock
Is NVDA a good buy now?,stock
Buy 10 shares of AMZN.,stock
Tell me a joke.,not_stock
What time is it in Tokyo?,not_stock
How did the market close today?,stock
What time is it in Tokyo?,not_stock
Compare AAPL and MSFT stock performance.,stock
How did the market close today?,stock
Translate 'hello' to Spanish.,not_stock
What’s the P/E ratio of Microsoft?,stock
Play some relaxing music.,not_stock
Give me the latest news on AMD stock.,stock
What is the weather like in New York?,not_stock
Give me the latest news on AMD stock.,stock
Set a reminder for 5 PM.,not_stock
Is NVDA a good buy now?,stock
How did the market close today?,stock
