text,intent
Tell me about ORCL's latest news,shows_info
Display the stock details for JPM,shows_info
What's the volume traded for TSLA today?,shows_info
Show the company profile for General Electric,shows_info
What's the current value of IBM?,shows_info
Display the stock details for V,shows_info
Tell me about Walmart's latest news,shows_info
What's the current value of Walmart?,shows_info
How is Nvidia doing today?,shows_info
What's the volume traded for Ford today?,shows_info
I want to see TSLA stock info,shows_info
What's the stock price of Nvidia?,shows_info
What's the volume traded for Google today?,shows_info
I want to see NFLX stock info,shows_info
Tell me about DIS's latest news,shows_info
Show me the market cap of Walmart,shows_info
What's the volume traded for GE today?,shows_info
Tell me about Oracle's latest news,shows_info
Tell me about Facebook's latest news,shows_info
I want to see BABA stock info,shows_info
Tell me about AT&T's latest news,shows_info
Tell me about AMZN's latest news,shows_info
Give me information about JPM,shows_info
What's the current value of Alibaba?,shows_info
Show the company profile for MSFT,shows_info
Show the company profile for NVDA,shows_info
Show the company profile for NFLX,shows_info
Show the company profile for BABA,shows_info
Show me the market cap of GOOGL,shows_info
What's the volume traded for Visa today?,shows_info
Tell me about Tesla's latest news,shows_info
What's the stock price of Oracle?,shows_info
I want to see AT&T stock info,shows_info
I want to see AMD stock info,shows_info
Display the stock details for AAPL,shows_info
What's the current value of ORCL?,shows_info
Give me information about AMD,shows_info
What's the volume traded for BABA today?,shows_info
What's the volume traded for Nvidia today?,shows_info
Show the company profile for WMT,shows_info
Display the stock details for NFLX,shows_info
Display the stock details for Netflix,shows_info
What's the volume traded for NFLX today?,shows_info
What's the stock price of FB?,shows_info
Give me information about Visa,shows_info
Show the company profile for GOOGL,shows_info
How is T doing today?,shows_info
What's the current value of MSFT?,shows_info
Give me information about INTC,shows_info
What's the current value of T?,shows_info
Tell me about IBM's latest news,shows_info
Give me information about V,shows_info
What's the volume traded for Microsoft today?,shows_info
Show the company profile for Ford,shows_info
Tell me about Tesla's latest news,shows_info
How is Facebook doing today?,shows_info
What's the stock price of NFLX?,shows_info
Give me information about AAPL,shows_info
What's the current value of BABA?,shows_info
Tell me about TSLA's latest news,shows_info
What's the current value of TSLA?,shows_info
Tell me about Visa's latest news,shows_info
Tell me about WMT's latest news,shows_info
Give me information about GE,shows_info
What's the stock price of Visa?,shows_info
I want to see WMT stock info,shows_info
How is Apple doing today?,shows_info
Show the company profile for T,shows_info
What's the current value of F?,shows_info
Tell me about IBM's latest news,shows_info
Give me information about IBM,shows_info
How is FB doing today?,shows_info
What's the volume traded for AMD today?,shows_info
I want to see BABA stock info,shows_info
Tell me about MSFT's latest news,shows_info
Show me the market cap of Amazon,shows_info
How is Walmart doing today?,shows_info
What's the volume traded for F today?,shows_info
Tell me about Nvidia's latest news,shows_info
Give me information about V,shows_info
What's the volume traded for Microsoft today?,shows_info
What's the volume traded for AMD today?,shows_info
Give me information about Apple,shows_info
How is V doing today?,shows_info
Give me information about Microsoft,shows_info
What's the stock price of Tesla?,shows_info
Show the company profile for Tesla,shows_info
What's the volume traded for Walmart today?,shows_info
Display the stock details for IBM,shows_info
Show me the market cap of BABA,shows_info
Show me the market cap of IBM,shows_info
What's the current value of T?,shows_info
I want to see Oracle stock info,shows_info
Show me the market cap of Alibaba,shows_info
What's the stock price of Google?,shows_info
What's the volume traded for Netflix today?,shows_info
What's the stock price of Alibaba?,shows_info
Show me the market cap of F,shows_info
How is Nvidia doing today?,shows_info
I want to see JP Morgan stock info,shows_info
I want to see T stock info,shows_info
Tell me about GE's latest news,shows_info
What's the volume traded for AT&T today?,shows_info
Give me information about JPM,shows_info
What's the stock price of ORCL?,shows_info
What's the current value of DIS?,shows_info
What's the stock price of DIS?,shows_info
Show me the market cap of JPM,shows_info
What's the stock price of TSLA?,shows_info
What's the volume traded for Ford today?,shows_info
Show me the market cap of Amazon,shows_info
How is JP Morgan doing today?,shows_info
Show me the market cap of Oracle,shows_info
How is AMD doing today?,shows_info
Display the stock details for MSFT,shows_info
What's the stock price of Disney?,shows_info
Display the stock details for GE,shows_info
What's the volume traded for Facebook today?,shows_info
What's the volume traded for WMT today?,shows_info
What's the stock price of AT&T?,shows_info
Show me the market cap of Oracle,shows_info
Show me the market cap of Ford,shows_info
Show me the market cap of DIS,shows_info
What's the current value of WMT?,shows_info
How is Nvidia doing today?,shows_info
How is AMZN doing today?,shows_info
How is MSFT doing today?,shows_info
Tell me about GE's latest news,shows_info
Show me the market cap of Visa,shows_info
Give me information about JPM,shows_info
I want to see ORCL stock info,shows_info
What's the stock price of General Electric?,shows_info
Show me the market cap of Google,shows_info
Show the company profile for GE,shows_info
What's the volume traded for IBM today?,shows_info
I want to see AMZN stock info,shows_info
Give me information about IBM,shows_info
I want to see ORCL stock info,shows_info
Show the company profile for Ford,shows_info
Show the company profile for Oracle,shows_info
Show the company profile for FB,shows_info
How is Oracle doing today?,shows_info
